keyword,category,lang,type,rationale,metrics_proxy
Model Context Protocol,core_keywords,en,core,MCP全体の基盤プロトコル。GitHub 82.7k stars / 4420+ repos,GitHub Stars: 82700
MCP server,core_keywords,en,core,18964サーバーがglama.aiに登録済み。エコシステムの基本単位,glama.ai登録数: 18964
Claude Skills,core_keywords,en,core,Anthropic公式のスキル機能。Claude Desktopと連携,N/A
API marketplace,core_keywords,en,core,ツール統合の流通プラットフォーム概念,RapidAPI MAU: 5M+
extension ecosystem,core_keywords,en,core,VS Code型拡張エコシステムとMCPの統合モデル,VS Code Extensions: 60k+
tool aggregation,core_keywords,en,core,複数MCPを集約するAggregatorパターン,GitHub trend
AI agent orchestration,core_keywords,en,core,マルチエージェント協調の基盤概念。Ruflo 20.5k stars,Stars: 20500
MCP registry,core_keywords,both,core,公式MCPレジストリ。ツール発見の中央集権的インフラ,glama.ai: 18964
fastmcp,related,en,related,PythonicなMCPサーバー構築フレームワーク。23.6k stars,GitHub Stars: 23600
TypeScript MCP SDK,related,en,related,MCP実装の主力言語。1473 repos,Repos: 1473
Python MCP SDK,related,en,related,MCP実装第2位言語。1334 repos,Repos: 1334
Anthropic Claude API,related,en,related,MCP統合の基盤LLM API,N/A
OpenAI function calling,related,en,related,MCP対抗規格。比較・互換性が重要,N/A
LangChain tools,related,en,related,エージェントツール統合の先行実装,GitHub Stars: 95k+
LlamaIndex,related,en,related,RAG+ツール統合のフレームワーク,GitHub Stars: 38k+
tool use,related,en,related,LLMのツール利用パターンの総称,N/A
JSON-RPC,related,en,related,MCPのトランスポート層プロトコル,N/A
remote MCP server,related,en,related,glama.aiで8199件。クラウド展開型が主流化,Count: 8199
glama.ai,related,en,related,最大のMCPディレクトリサービス（18964登録）,Servers: 18964
tool discovery,related,both,related,AIがツールを自動発見するメカニズム,N/A
Firecrawl,related,en,related,WebスクレイピングMCP。人気実装の代表例,GitHub Stars: 25k+
Unity MCP,related,en,related,ゲーム開発ツールチェーンへのMCP統合。6.9k stars,Stars: 6900
MCP自動化,compound,ja,compound,MCPを使ったワークフロー自動化。RPA代替として注目,N/A
AI tool discovery,compound,en,compound,AIによるツール自動発見・選択システム,N/A
